pid,sex,study_group,timepoint,training_day,weight
10046895,Female,Training,8 weeks,6,186
10046895,Female,Training,8 weeks,11,186
10046895,Female,Training,8 weeks,16,189
10046895,Female,Training,8 weeks,21,186
10046895,Female,Training,8 weeks,26,185
10046895,Female,Training,8 weeks,31,188
10046895,Female,Training,8 weeks,36,193
10046976,Female,Training,8 weeks,1,181
10046976,Female,Training,8 weeks,6,183
10046976,Female,Training,8 weeks,11,188
10046976,Female,Training,8 weeks,16,187
10046976,Female,Training,8 weeks,21,194
10046976,Female,Training,8 weeks,26,189
10046976,Female,Training,8 weeks,31,193
10046976,Female,Training,8 weeks,36,195
